,algorithm,params,groups,memberG1,memberG2,calinski_harabaz_score,silhouette_score
1,K-Means,K = 2,2,49,76,14.37430066487196,0.11963725260461906
2,Birch,K = 2,2,84,41,9.452495958149742,0.09343853145173288
3,AgglomerativeClustering,affinity = euclidean linkage = ward k = 2,2,84,41,9.452495958149742,0.09343853145173288
4,AgglomerativeClustering,affinity = euclidean linkage = complete k = 2,2,124,1,3.3797362300267055,0.3281113758249896
5,AgglomerativeClustering,affinity = euclidean linkage = average k = 2,2,124,1,3.3797362300267055,0.3281113758249896
6,AgglomerativeClustering,affinity = euclidean linkage = single k = 2,2,124,1,2.4882518306063535,0.24413585446948777
7,AgglomerativeClustering,affinity = l1 linkage = complete k = 2,2,96,29,10.124188826498203,0.1184142057045111
8,AgglomerativeClustering,affinity = l1 linkage = average k = 2,2,124,1,3.3797362300267055,0.3281113758249896
9,AgglomerativeClustering,affinity = l1 linkage = single k = 2,2,124,1,3.3797362300267055,0.3281113758249896
10,AgglomerativeClustering,affinity = l2 linkage = complete k = 2,2,124,1,3.3797362300267055,0.3281113758249896
11,AgglomerativeClustering,affinity = l2 linkage = average k = 2,2,124,1,3.3797362300267055,0.3281113758249896
12,AgglomerativeClustering,affinity = l2 linkage = single k = 2,2,124,1,2.4882518306063535,0.24413585446948777
13,AgglomerativeClustering,affinity = manhattan linkage = complete k = 2,2,96,29,10.124188826498203,0.1184142057045111
14,AgglomerativeClustering,affinity = manhattan linkage = average k = 2,2,124,1,3.3797362300267055,0.3281113758249896
15,AgglomerativeClustering,affinity = manhattan linkage = single k = 2,2,124,1,3.3797362300267055,0.3281113758249896
16,AgglomerativeClustering,affinity = cosine linkage = complete k = 2,2,73,52,8.170653913991936,0.04696425280276117
17,AgglomerativeClustering,affinity = cosine linkage = average k = 2,2,69,56,11.279026527235594,0.07621901113699256
18,AgglomerativeClustering,affinity = cosine linkage = single k = 2,2,124,1,0.563000899290041,-0.11544422652271666
