,algorithm,params,groups,memberG1,memberG2,calinski_harabaz_score,silhouette_score
1,K-Means,K = 2,2,125,178,57.05039171447594,0.16201611824058648
2,Birch,K = 2,2,222,81,42.861109798127636,0.14406382219949723
3,AgglomerativeClustering,affinity = euclidean linkage = ward k = 2,2,221,82,42.703023121486524,0.1465175587612168
4,AgglomerativeClustering,affinity = euclidean linkage = complete k = 2,2,302,1,3.6663614156592312,0.3481397747772875
5,AgglomerativeClustering,affinity = euclidean linkage = average k = 2,2,302,1,3.6663614156592312,0.3481397747772875
6,AgglomerativeClustering,affinity = euclidean linkage = single k = 2,2,302,1,3.40541066293677,0.3219146290399589
7,AgglomerativeClustering,affinity = l1 linkage = complete k = 2,2,194,109,45.466390611143844,0.13849059353070778
8,AgglomerativeClustering,affinity = l1 linkage = average k = 2,2,294,9,9.630762208027035,0.20459898119788472
9,AgglomerativeClustering,affinity = l1 linkage = single k = 2,2,302,1,3.40541066293677,0.3219146290399589
10,AgglomerativeClustering,affinity = l2 linkage = complete k = 2,2,302,1,3.6663614156592312,0.3481397747772875
11,AgglomerativeClustering,affinity = l2 linkage = average k = 2,2,302,1,3.6663614156592312,0.3481397747772875
12,AgglomerativeClustering,affinity = l2 linkage = single k = 2,2,302,1,3.40541066293677,0.3219146290399589
13,AgglomerativeClustering,affinity = manhattan linkage = complete k = 2,2,194,109,45.466390611143844,0.13849059353070778
14,AgglomerativeClustering,affinity = manhattan linkage = average k = 2,2,294,9,9.630762208027035,0.20459898119788472
15,AgglomerativeClustering,affinity = manhattan linkage = single k = 2,2,302,1,3.40541066293677,0.3219146290399589
16,AgglomerativeClustering,affinity = cosine linkage = complete k = 2,2,143,160,41.278656385215214,0.11649889387446201
17,AgglomerativeClustering,affinity = cosine linkage = average k = 2,2,147,156,44.15528015880384,0.12834858167141633
18,AgglomerativeClustering,affinity = cosine linkage = single k = 2,2,302,1,0.721628129526389,-0.060035595002756494
