,algorithm,params,groups,memberG1,memberG2,calinski_harabaz_score,silhouette_score
1,K-Means,K = 2,2,125,178,57.0503917145,0.162016118241
2,Birch,K = 2,2,222,81,42.8611097981,0.144063822199
3,AgglomerativeClustering,affinity = euclidean linkage = ward k = 2,2,221,82,42.7030231215,0.146517558761
4,AgglomerativeClustering,affinity = euclidean linkage = complete k = 2,2,302,1,3.66636141566,0.348139774777
5,AgglomerativeClustering,affinity = euclidean linkage = average k = 2,2,302,1,3.66636141566,0.348139774777
6,AgglomerativeClustering,affinity = euclidean linkage = single k = 2,2,302,1,3.40541066294,0.32191462904
7,AgglomerativeClustering,affinity = l1 linkage = complete k = 2,2,194,109,45.4663906111,0.138490593531
8,AgglomerativeClustering,affinity = l1 linkage = average k = 2,2,294,9,9.63076220803,0.204598981198
9,AgglomerativeClustering,affinity = l1 linkage = single k = 2,2,302,1,3.40541066294,0.32191462904
10,AgglomerativeClustering,affinity = l2 linkage = complete k = 2,2,302,1,3.66636141566,0.348139774777
11,AgglomerativeClustering,affinity = l2 linkage = average k = 2,2,302,1,3.66636141566,0.348139774777
12,AgglomerativeClustering,affinity = l2 linkage = single k = 2,2,302,1,3.40541066294,0.32191462904
13,AgglomerativeClustering,affinity = manhattan linkage = complete k = 2,2,194,109,45.4663906111,0.138490593531
14,AgglomerativeClustering,affinity = manhattan linkage = average k = 2,2,294,9,9.63076220803,0.204598981198
15,AgglomerativeClustering,affinity = manhattan linkage = single k = 2,2,302,1,3.40541066294,0.32191462904
16,AgglomerativeClustering,affinity = cosine linkage = complete k = 2,2,143,160,41.2786563852,0.116498893874
17,AgglomerativeClustering,affinity = cosine linkage = average k = 2,2,147,156,44.1552801588,0.128348581671
18,AgglomerativeClustering,affinity = cosine linkage = single k = 2,2,302,1,0.721628129526,-0.0600355950028
