,algorithm,params,groups,memberG1,memberG2,calinski_harabaz_score,silhouette_score
1,K-Means,K = 2,2,558,402,339.14736513717554,0.2845927739868994
2,Birch,K = 2,2,867,93,201.45036053281063,0.3732631969732082
3,AgglomerativeClustering,affinity = euclidean linkage = ward k = 2,2,433,527,273.56629620831063,0.26062450424803385
4,AgglomerativeClustering,affinity = euclidean linkage = complete k = 2,2,180,780,141.9832392753564,0.28883511127175615
5,AgglomerativeClustering,affinity = euclidean linkage = average k = 2,2,959,1,3.857877774453049,0.3794647513394758
6,AgglomerativeClustering,affinity = euclidean linkage = single k = 2,2,958,2,9.998514367991488,0.44587215301249356
7,AgglomerativeClustering,affinity = l1 linkage = complete k = 2,2,313,647,116.09727316524133,0.17824395223553127
8,AgglomerativeClustering,affinity = l1 linkage = average k = 2,2,959,1,3.857877774453049,0.3794647513394758
9,AgglomerativeClustering,affinity = l1 linkage = single k = 2,2,959,1,3.857877774453049,0.3794647513394758
10,AgglomerativeClustering,affinity = l2 linkage = complete k = 2,2,180,780,141.9832392753564,0.28883511127175615
11,AgglomerativeClustering,affinity = l2 linkage = average k = 2,2,959,1,3.857877774453049,0.3794647513394758
12,AgglomerativeClustering,affinity = l2 linkage = single k = 2,2,958,2,9.998514367991488,0.44587215301249356
13,AgglomerativeClustering,affinity = manhattan linkage = complete k = 2,2,313,647,116.09727316524133,0.17824395223553127
14,AgglomerativeClustering,affinity = manhattan linkage = average k = 2,2,959,1,3.857877774453049,0.3794647513394758
15,AgglomerativeClustering,affinity = manhattan linkage = single k = 2,2,959,1,3.857877774453049,0.3794647513394758
16,AgglomerativeClustering,affinity = cosine linkage = complete k = 2,2,583,377,187.55509881332685,0.17998031700443373
17,AgglomerativeClustering,affinity = cosine linkage = average k = 2,2,459,501,252.142195897968,0.24474313156991143
18,AgglomerativeClustering,affinity = cosine linkage = single k = 2,2,959,1,1.0297552801337646,0.015603870701376067
