,algorithm,params,groups,memberG1,memberG2,calinski_harabaz_score,silhouette_score
1,K-Means,K = 2,2,50,100,251.349339465,0.581750049198
2,Birch,K = 2,2,101,49,240.245665224,0.577034601948
3,AgglomerativeClustering,affinity = euclidean linkage = ward k = 2,2,101,49,240.245665224,0.577034601948
4,AgglomerativeClustering,affinity = euclidean linkage = complete k = 2,2,73,77,151.633172687,0.44081207106
5,AgglomerativeClustering,affinity = euclidean linkage = average k = 2,2,100,50,251.349339465,0.581750049198
6,AgglomerativeClustering,affinity = l1 linkage = complete k = 2,2,77,73,150.656133512,0.430243819708
7,AgglomerativeClustering,affinity = l1 linkage = average k = 2,2,100,50,251.349339465,0.581750049198
8,AgglomerativeClustering,affinity = l2 linkage = complete k = 2,2,73,77,151.633172687,0.44081207106
9,AgglomerativeClustering,affinity = l2 linkage = average k = 2,2,100,50,251.349339465,0.581750049198
10,AgglomerativeClustering,affinity = manhattan linkage = complete k = 2,2,77,73,150.656133512,0.430243819708
11,AgglomerativeClustering,affinity = manhattan linkage = average k = 2,2,100,50,251.349339465,0.581750049198
12,AgglomerativeClustering,affinity = cosine linkage = complete k = 2,2,81,69,141.721725743,0.411857111602
13,AgglomerativeClustering,affinity = cosine linkage = average k = 2,2,101,49,240.245665224,0.577034601948
