,Message Error
1,Error exec AgglomerativeClustering with params affinity = euclidean linkage = average k = 2
2,Error exec AgglomerativeClustering with params affinity = euclidean linkage = average k = 2
3,Error exec AgglomerativeClustering with params affinity = l1 linkage = average k = 2
4,Error exec AgglomerativeClustering with params affinity = l1 linkage = average k = 2
5,Error exec AgglomerativeClustering with params affinity = l2 linkage = average k = 2
6,Error exec AgglomerativeClustering with params affinity = l2 linkage = average k = 2
7,Error exec AgglomerativeClustering with params affinity = manhattan linkage = average k = 2
8,Error exec AgglomerativeClustering with params affinity = manhattan linkage = average k = 2
9,Error exec AgglomerativeClustering with params affinity = cosine linkage = average k = 2
10,Error exec AgglomerativeClustering with params affinity = cosine linkage = average k = 2
11,Error exec AgglomerativeClustering with params affinity = cosine linkage = average k = 2
12,Error exec AgglomerativeClustering with params affinity = cosine linkage = average k = 2
13,Error exec AgglomerativeClustering with params affinity = cosine linkage = average k = 2
