c1,c2,c3,c4,c5
4,4,1000,4,0
0,3,750,4,0
2,3,750,4,1
2,3,750,4,1
2,2,500,2,0
2,2,500,2,0
2,2,500,2,0
2,3,750,9,1
0,2,500,4,0
2,2,500,4,0
2,2,500,4,1
2,2,500,4,1
2,2,500,4,0
2,2,500,4,0
2,2,500,4,0
4,2,500,4,0
4,2,500,4,0
4,2,500,4,0
4,2,500,4,1
4,2,500,4,0
4,2,500,4,0
4,2,500,4,0
2,3,750,14,0
2,3,750,16,1
2,2,500,10,1
2,2,500,10,0
2,3,750,19,0
2,2,500,11,0
4,3,750,16,0
4,3,750,16,0
4,2,500,9,1
4,3,750,16,1
6,3,750,14,0
2,2,500,11,0
2,2,500,11,1
2,2,500,11,0
2,1,250,2,1
2,1,250,2,0
2,1,250,2,0
2,1,250,2,0
2,1,250,2,0
2,1,250,2,0
2,1,250,2,0
2,1,250,2,0
2,1,250,2,0
2,1,250,2,0
2,1,250,2,1
2,1,250,2,1
2,1,250,2,1
2,1,250,2,0
2,1,250,2,0
2,1,250,2,0
2,1,250,2,0
2,1,250,2,0
2,1,250,2,0
2,1,250,2,0
2,1,250,2,0
2,1,250,2,0
2,3,750,22,0
2,2,500,14,0
6,2,500,11,1
2,2,500,16,0
11,3,750,14,0
4,1,250,4,0
4,1,250,4,0
4,1,250,4,0
4,1,250,4,0
4,1,250,4,0
4,1,250,4,1
4,1,250,4,0
4,1,250,4,0
4,1,250,4,0
4,1,250,4,0
4,1,250,4,0
4,1,250,4,1
4,1,250,4,1
4,1,250,4,0
4,1,250,4,1
4,1,250,4,1
4,1,250,4,0
4,3,750,24,0
4,1,250,4,0
4,1,250,4,0
4,1,250,4,0
4,1,250,4,1
4,1,250,4,0
11,3,750,15,0
4,2,500,14,0
4,3,750,25,1
9,2,500,11,0
11,2,500,11,0
11,2,500,11,0
11,2,500,11,0
11,3,750,16,1
2,3,750,35,0
4,3,750,28,0
2,2,500,23,0
3,2,500,23,0
7,2,500,16,0
4,3,750,34,0
8,2,500,16,0
11,2,500,14,0
4,2,500,23,0
9,2,500,16,1
14,3,750,19,1
14,2,500,14,0
14,2,500,14,0
14,2,500,14,0
14,2,500,14,0
14,2,500,14,0
14,2,500,14,0
11,3,750,23,0
16,3,750,19,0
11,2,500,16,0
9,1,250,9,0
9,1,250,9,0
4,2,500,29,0
11,2,500,17,0
14,2,500,16,0
2,2,500,41,0
16,2,500,16,0
16,3,750,21,1
11,3,750,28,0
11,1,250,11,1
9,3,750,34,0
11,1,250,11,0
11,1,250,11,0
11,1,250,11,0
11,1,250,11,0
11,1,250,11,0
11,1,250,11,0
11,1,250,11,0
11,1,250,11,0
11,2,500,21,0
11,2,500,21,0
4,2,500,41,0
14,3,750,26,0
9,2,500,26,0
11,2,500,24,0
14,2,500,21,1
11,2,500,26,0
4,2,500,51,1
14,3,750,31,0
4,2,500,52,0
11,3,750,40,1
14,1,250,14,0
14,1,250,14,0
14,1,250,14,0
14,1,250,14,0
14,1,250,14,0
14,1,250,14,0
14,1,250,14,0
14,1,250,14,0
14,1,250,14,0
14,1,250,14,0
4,2,500,59,0
21,2,500,21,1
21,3,750,26,0
21,3,750,26,1
18,2,500,23,0
16,3,750,34,0
14,3,750,41,0
16,1,250,16,0
16,1,250,16,0
16,1,250,16,0
16,1,250,16,0
16,1,250,16,0
16,1,250,16,0
16,1,250,16,0
16,1,250,16,0
16,1,250,16,0
16,1,250,16,0
16,1,250,16,0
16,1,250,16,0
16,2,500,26,0
21,2,500,23,0
16,2,500,27,0
21,2,500,23,0
21,2,500,23,0
23,2,500,23,0
23,3,750,28,0
16,3,750,40,0
9,2,500,52,0
9,2,500,52,0
14,2,500,35,0
21,2,500,25,0
11,2,500,52,0
21,3,750,35,0
23,2,500,26,0
23,2,500,26,0
23,3,750,33,0
21,3,750,38,0
23,2,500,28,0
21,1,250,21,0
21,1,250,21,0
21,1,250,21,0
21,1,250,21,0
21,1,250,21,0
21,1,250,21,0
21,1,250,21,0
21,1,250,21,0
21,1,250,21,0
21,1,250,21,1
21,1,250,21,0
21,1,250,21,0
22,1,250,22,1
23,3,750,40,0
23,3,750,41,0
21,2,500,35,0
23,1,250,23,0
23,1,250,23,0
23,1,250,23,0
23,1,250,23,0
23,1,250,23,0
23,1,250,23,0
23,1,250,23,0
23,1,250,23,0
21,2,500,41,0
38,1,250,38,0
38,1,250,38,0
40,1,250,40,0
74,1,250,74,0
4,4,1000,4,1
2,2,500,4,1
4,2,500,4,1
4,2,500,4,1
2,3,750,11,0
2,3,750,14,0
4,2,500,9,0
2,2,500,11,1
2,2,500,11,0
2,2,500,11,1
2,3,750,21,0
2,1,250,2,0
2,1,250,2,1
2,1,250,2,0
2,1,250,2,0
2,1,250,2,0
2,1,250,2,0
2,1,250,2,1
2,1,250,2,0
2,1,250,2,0
2,1,250,2,0
2,1,250,2,0
2,3,750,22,0
3,1,250,3,1
2,3,750,24,0
2,2,500,14,0
9,3,750,14,0
4,2,500,13,0
4,1,250,4,0
4,1,250,4,0
4,1,250,4,0
4,1,250,4,0
4,1,250,4,1
4,1,250,4,0
4,1,250,4,0
4,1,250,4,0
4,1,250,4,0
4,1,250,4,0
4,1,250,4,1
4,1,250,4,0
4,1,250,4,0
13,3,750,14,1
11,2,500,11,0
2,2,500,22,0
6,3,750,26,0
13,3,750,16,0
14,2,500,14,1
14,2,500,14,0
14,2,500,14,0
2,2,500,33,0
11,3,750,23,0
9,1,250,9,0
4,2,500,30,0
14,3,750,21,0
4,2,500,31,0
11,3,750,26,0
16,2,500,16,0
16,3,750,21,0
11,1,250,11,0
11,1,250,11,0
11,1,250,11,0
11,1,250,11,1
11,1,250,11,0
16,3,750,23,0
14,3,750,26,0
14,3,750,28,0
4,2,500,46,0
11,2,500,25,0
11,3,750,37,0
14,3,750,33,0
14,1,250,14,0
14,1,250,14,0
14,1,250,14,0
14,1,250,14,0
14,1,250,14,0
14,1,250,14,0
14,3,750,35,0
14,3,750,35,0
21,2,500,21,0
16,3,750,35,0
16,1,250,16,0
16,1,250,16,0
16,1,250,16,0
16,1,250,16,0
16,1,250,16,0
14,2,500,29,0
11,2,500,38,1
23,2,500,23,0
14,2,500,35,1
21,2,500,26,0
21,3,750,35,0
21,3,750,35,0
21,3,750,38,0
23,3,750,35,0
21,3,750,40,0
23,2,500,28,0
21,1,250,21,0
21,1,250,21,0
21,1,250,21,0
21,1,250,21,0
23,3,750,39,0
21,2,500,33,0
23,1,250,23,1
23,1,250,23,0
23,1,250,23,0
23,1,250,23,0
23,1,250,23,0
23,1,250,23,0
23,1,250,23,0
23,1,250,23,0
23,2,500,38,0
21,2,500,52,0
39,1,250,39,0
72,1,250,72,0
