c1,c2,c3,c4,c5
4,4,1000,4,0
2,7,1750,14,1
2,9,2250,22,1
0,3,750,4,0
2,6,1500,15,1
2,5,1250,11,1
2,6,1500,15,1
2,3,750,4,1
2,3,750,4,1
2,6,1500,16,1
2,6,1500,16,1
9,9,2250,16,0
4,6,1500,14,0
4,5,1250,11,1
4,8,2000,21,0
4,9,2250,26,1
2,8,2000,28,1
4,6,1500,16,1
4,7,1750,22,1
2,5,1250,16,0
2,5,1250,16,1
2,5,1250,16,0
4,9,2250,28,1
2,2,500,2,0
2,2,500,2,0
2,2,500,2,0
2,6,1500,22,0
4,5,1250,14,1
4,8,2000,26,1
2,7,1750,28,1
3,6,1500,21,0
2,7,1750,29,0
2,8,2000,35,1
4,5,1250,16,1
2,3,750,9,1
2,4,1000,14,1
0,2,500,4,0
4,7,1750,25,0
2,4,1000,16,0
2,4,1000,16,0
2,2,500,4,0
2,2,500,4,1
2,2,500,4,1
2,4,1000,16,1
2,2,500,4,0
2,2,500,4,0
2,2,500,4,0
4,6,1500,23,1
2,4,1000,16,0
2,4,1000,16,0
2,4,1000,16,0
2,6,1500,28,1
2,6,1500,28,0
4,2,500,4,0
4,2,500,4,0
4,2,500,4,0
2,7,1750,35,1
4,2,500,4,1
4,2,500,4,0
4,2,500,4,0
4,2,500,4,0
4,7,1750,28,0
4,4,1000,14,1
5,7,1750,26,1
4,8,2000,34,1
2,5,1250,26,0
2,5,1250,26,0
3,5,1250,26,0
2,3,750,14,0
4,5,1250,23,1
4,5,1250,23,0
4,8,2000,40,1
2,7,1750,46,1
2,3,750,16,1
4,5,1250,26,1
2,6,1500,41,1
2,5,1250,33,1
2,4,1000,26,0
2,5,1250,34,0
2,4,1000,26,0
2,2,500,10,1
4,5,1250,28,0
2,2,500,10,0
4,6,1500,35,0
2,3,750,19,0
2,5,1250,37,0
9,5,1250,19,0
2,2,500,11,0
4,3,750,16,0
4,3,750,16,0
4,2,500,9,1
4,3,750,16,1
6,3,750,14,0
2,2,500,11,0
2,2,500,11,1
2,2,500,11,0
4,6,1500,39,0
2,1,250,2,1
2,1,250,2,0
2,1,250,2,0
2,1,250,2,0
2,1,250,2,0
2,1,250,2,0
2,1,250,2,0
2,1,250,2,0
2,1,250,2,0
2,1,250,2,0
2,1,250,2,1
2,1,250,2,1
2,1,250,2,1
2,1,250,2,0
2,1,250,2,0
2,1,250,2,0
2,1,250,2,0
2,1,250,2,0
2,1,250,2,0
2,1,250,2,0
2,1,250,2,0
2,1,250,2,0
11,4,1000,16,1
4,5,1250,33,1
4,6,1500,41,1
2,3,750,22,0
4,4,1000,26,1
10,4,1000,16,0
2,4,1000,35,0
13,8,2000,26,0
11,9,2250,33,0
4,5,1250,34,0
4,4,1000,26,0
4,5,1250,35,1
2,4,1000,35,0
2,2,500,14,0
2,5,1250,47,1
9,8,2000,38,1
4,6,1500,47,0
11,7,1750,29,0
4,6,1500,52,0
6,2,500,11,1
11,6,1500,26,0
2,2,500,16,0
11,6,1500,27,0
11,3,750,14,0
4,1,250,4,0
4,1,250,4,0
4,1,250,4,0
4,1,250,4,0
4,1,250,4,0
4,1,250,4,1
4,1,250,4,0
4,1,250,4,0
4,1,250,4,0
4,1,250,4,0
4,1,250,4,0
4,1,250,4,1
4,1,250,4,1
4,1,250,4,0
4,1,250,4,1
4,1,250,4,1
4,1,250,4,0
4,3,750,24,0
4,1,250,4,0
4,1,250,4,0
4,1,250,4,0
4,1,250,4,1
4,1,250,4,0
10,8,2000,39,0
14,7,1750,26,0
11,3,750,15,0
4,2,500,14,0
2,4,1000,43,0
4,3,750,25,1
9,2,500,11,0
4,5,1250,46,0
11,2,500,11,0
11,2,500,11,0
11,2,500,11,0
11,8,2000,41,1
11,3,750,16,1
2,3,750,35,0
16,8,2000,28,0
11,7,1750,37,0
4,3,750,28,0
4,4,1000,41,0
2,2,500,23,0
2,3,750,38,1
4,5,1250,58,0
4,4,1000,43,1
3,2,500,23,0
11,8,2000,46,0
13,4,1000,21,0
16,7,1750,28,0
7,2,500,16,0
4,5,1250,58,0
4,5,1250,58,0
4,4,1000,46,0
4,3,750,34,0
14,4,1000,22,1
14,5,1250,26,0
8,2,500,16,0
11,5,1250,33,0
11,2,500,14,0
4,2,500,23,0
9,2,500,16,1
14,5,1250,28,1
14,3,750,19,1
14,4,1000,23,1
11,4,1000,28,0
11,5,1250,35,0
11,5,1250,35,0
2,4,1000,70,0
14,5,1250,28,0
14,2,500,14,0
14,2,500,14,0
14,2,500,14,0
14,2,500,14,0
14,2,500,14,0
14,2,500,14,0
2,3,750,52,0
14,6,1500,34,0
11,5,1250,37,1
11,3,750,23,0
16,4,1000,23,0
16,3,750,19,0
11,5,1250,38,0
11,2,500,16,0
9,1,250,9,0
9,1,250,9,0
4,2,500,29,0
11,2,500,17,0
14,4,1000,26,0
11,5,1250,41,0
9,5,1250,51,1
11,4,1000,34,0
16,7,1750,38,0
14,2,500,16,0
2,2,500,41,0
14,4,1000,28,1
16,7,1750,39,0
14,7,1750,47,0
16,6,1500,35,0
16,6,1500,35,1
16,2,500,16,0
16,3,750,21,1
11,3,750,28,0
11,1,250,11,1
9,3,750,34,0
14,4,1000,30,0
11,6,1500,58,0
11,1,250,11,0
11,1,250,11,0
11,1,250,11,0
11,1,250,11,0
11,1,250,11,0
11,1,250,11,0
11,1,250,11,0
11,1,250,11,0
11,2,500,21,0
11,5,1250,50,0
11,2,500,21,0
16,4,1000,28,0
4,2,500,41,0
16,6,1500,40,0
14,3,750,26,0
9,2,500,26,0
14,6,1500,51,0
11,2,500,24,0
4,3,750,71,0
14,2,500,21,1
14,4,1000,38,0
11,2,500,26,0
16,5,1250,40,1
4,2,500,51,1
14,3,750,31,0
4,2,500,52,0
9,4,1000,65,0
14,4,1000,40,0
11,3,750,40,1
14,5,1250,50,0
14,1,250,14,0
14,1,250,14,0
14,1,250,14,0
14,1,250,14,0
14,1,250,14,0
14,1,250,14,0
14,1,250,14,0
14,1,250,14,0
14,1,250,14,0
14,1,250,14,0
9,3,750,52,0
11,4,1000,58,0
11,4,1000,59,0
4,2,500,59,0
11,4,1000,61,0
16,4,1000,40,0
21,2,500,21,1
21,3,750,26,0
21,3,750,26,1
18,2,500,23,0
23,5,1250,33,0
23,8,2000,46,0
16,3,750,34,0
14,5,1250,64,0
14,3,750,41,0
16,1,250,16,0
16,1,250,16,0
16,1,250,16,0
16,1,250,16,0
16,1,250,16,0
16,1,250,16,0
16,1,250,16,0
16,4,1000,45,0
16,1,250,16,0
16,1,250,16,0
16,1,250,16,0
16,1,250,16,0
16,1,250,16,0
16,2,500,26,0
21,2,500,23,0
16,2,500,27,0
21,2,500,23,0
21,2,500,23,0
14,4,1000,57,0
16,5,1250,60,0
23,2,500,23,0
14,5,1250,74,0
23,3,750,28,0
16,3,750,40,0
9,2,500,52,0
9,2,500,52,0
14,4,1000,64,0
14,2,500,35,0
21,2,500,25,0
14,3,750,52,0
16,3,750,46,0
11,3,750,76,0
11,2,500,52,0
11,3,750,76,0
21,3,750,35,0
23,2,500,26,0
23,2,500,26,0
16,3,750,50,0
23,3,750,33,0
21,3,750,38,0
23,2,500,28,0
21,1,250,21,0
21,1,250,21,0
21,1,250,21,0
21,1,250,21,0
21,1,250,21,0
21,1,250,21,0
21,1,250,21,0
21,1,250,21,0
21,1,250,21,0
21,1,250,21,1
21,1,250,21,0
21,1,250,21,0
21,5,1250,60,0
23,4,1000,45,0
21,4,1000,52,0
22,1,250,22,1
11,2,500,70,0
23,5,1250,58,0
23,3,750,40,0
23,3,750,41,0
14,3,750,83,0
21,2,500,35,0
26,5,1250,49,1
23,6,1500,70,0
23,1,250,23,0
23,1,250,23,0
23,1,250,23,0
23,1,250,23,0
23,1,250,23,0
23,1,250,23,0
23,1,250,23,0
23,1,250,23,0
23,4,1000,53,0
23,3,750,48,0
21,2,500,41,0
21,3,750,64,0
16,2,500,70,0
21,3,750,70,0
23,4,1000,87,0
23,3,750,89,0
23,2,500,87,0
35,3,750,64,0
38,1,250,38,0
38,1,250,38,0
40,1,250,40,0
74,1,250,74,0
4,4,1000,4,1
4,6,1500,14,0
3,5,1250,12,1
4,9,2250,28,0
2,4,1000,11,0
2,5,1250,16,1
2,6,1500,22,1
4,5,1250,16,1
2,4,1000,14,1
4,8,2000,28,0
2,4,1000,14,0
2,6,1500,26,0
4,5,1250,16,1
2,7,1750,32,1
2,6,1500,26,1
2,8,2000,38,1
2,2,500,4,1
2,6,1500,28,1
4,2,500,4,1
4,2,500,4,1
2,3,750,11,0
4,7,1750,32,1
4,4,1000,16,0
2,6,1500,35,1
4,6,1500,28,1
2,3,750,14,0
2,4,1000,23,0
4,4,1000,18,0
5,6,1500,28,0
4,6,1500,30,0
14,5,1250,14,0
4,6,1500,35,0
4,6,1500,35,1
2,6,1500,45,0
2,6,1500,47,0
4,2,500,9,0
2,2,500,11,1
2,2,500,11,0
2,2,500,11,1
4,6,1500,38,1
3,4,1000,29,1
11,5,1250,18,0
2,3,750,21,0
2,1,250,2,0
2,1,250,2,1
2,1,250,2,0
2,1,250,2,0
2,1,250,2,0
2,1,250,2,0
2,1,250,2,1
2,1,250,2,0
2,1,250,2,0
2,1,250,2,0
2,1,250,2,0
2,3,750,22,0
3,5,1250,38,0
3,1,250,3,1
4,6,1500,43,0
2,3,750,24,0
2,2,500,14,0
4,6,1500,46,0
9,3,750,14,0
14,8,2000,26,0
4,2,500,13,0
4,1,250,4,0
4,1,250,4,0
4,1,250,4,0
4,1,250,4,0
4,1,250,4,1
4,1,250,4,0
4,1,250,4,0
4,1,250,4,0
4,1,250,4,0
4,1,250,4,0
4,1,250,4,1
4,1,250,4,0
4,1,250,4,0
4,4,1000,34,1
11,6,1500,28,0
13,3,750,14,1
7,5,1250,35,0
11,2,500,11,0
2,5,1250,63,0
2,2,500,22,0
6,3,750,26,0
13,3,750,16,0
4,5,1250,58,0
14,7,1750,35,0
11,4,1000,27,0
7,5,1250,52,0
11,6,1500,41,0
10,5,1250,38,0
14,2,500,14,1
14,2,500,14,0
14,2,500,14,0
2,2,500,33,0
11,3,750,23,0
14,8,2000,46,0
9,1,250,9,0
16,5,1250,27,0
14,4,1000,26,0
4,2,500,30,0
14,3,750,21,0
4,2,500,31,0
11,3,750,26,0
14,7,1750,45,0
15,5,1250,33,0
16,2,500,16,0
16,3,750,21,0
11,1,250,11,0
11,1,250,11,0
11,1,250,11,0
11,1,250,11,1
11,1,250,11,0
2,3,750,75,1
2,3,750,77,0
16,4,1000,28,0
16,3,750,23,0
14,3,750,26,0
14,3,750,28,0
4,2,500,46,0
11,2,500,25,0
11,3,750,37,0
16,4,1000,33,0
21,7,1750,38,0
16,6,1500,50,0
14,3,750,33,0
14,1,250,14,0
14,1,250,14,0
14,1,250,14,0
14,1,250,14,0
14,1,250,14,0
14,1,250,14,0
17,7,1750,58,1
14,3,750,35,0
14,3,750,35,0
21,2,500,21,0
16,3,750,35,0
16,1,250,16,0
16,1,250,16,0
16,1,250,16,0
16,1,250,16,0
16,1,250,16,0
14,2,500,29,0
11,4,1000,74,0
11,2,500,38,1
21,6,1500,48,0
23,2,500,23,0
23,6,1500,45,0
14,2,500,35,1
16,4,1000,58,0
16,5,1250,71,0
21,2,500,26,0
21,3,750,35,0
21,3,750,35,0
21,3,750,38,0
23,3,750,35,0
21,3,750,40,0
23,2,500,28,0
21,1,250,21,0
21,1,250,21,0
25,6,1500,50,0
21,1,250,21,0
21,1,250,21,0
23,3,750,39,0
21,2,500,33,0
14,3,750,79,0
23,1,250,23,1
23,1,250,23,0
23,1,250,23,0
23,1,250,23,0
23,1,250,23,0
23,1,250,23,0
23,1,250,23,0
23,4,1000,52,0
23,1,250,23,0
16,3,750,86,0
23,2,500,38,0
21,2,500,52,0
23,3,750,62,0
39,1,250,39,0
72,1,250,72,0
