,algorithm,params,groups,memberG1,memberG2,calinski_harabaz_score,silhouette_score
1,K-Means,K = 2,2,53,92,42.04855167897405,0.23062803544623425
2,Birch,K = 2,2,83,62,30.628175349672063,0.1516379076182833
3,AgglomerativeClustering,affinity = euclidean linkage = ward k = 2,2,87,58,30.74715343647205,0.14749970949728106
4,AgglomerativeClustering,affinity = euclidean linkage = complete k = 2,2,133,12,21.94879575192447,0.26859890618927224
5,AgglomerativeClustering,affinity = euclidean linkage = average k = 2,2,138,7,13.349184594057224,0.23873618292425974
6,AgglomerativeClustering,affinity = euclidean linkage = single k = 2,2,144,1,2.874536330714965,0.27731968940333057
7,AgglomerativeClustering,affinity = l1 linkage = complete k = 2,2,134,11,20.830572958359053,0.2709160406254093
8,AgglomerativeClustering,affinity = l1 linkage = average k = 2,2,133,12,18.902002085460513,0.24237976139462558
9,AgglomerativeClustering,affinity = l1 linkage = single k = 2,2,143,2,5.762779408574375,0.2978459885195776
10,AgglomerativeClustering,affinity = l2 linkage = complete k = 2,2,133,12,21.94879575192447,0.26859890618927224
11,AgglomerativeClustering,affinity = l2 linkage = average k = 2,2,138,7,13.349184594057224,0.23873618292425974
12,AgglomerativeClustering,affinity = l2 linkage = single k = 2,2,144,1,2.874536330714965,0.27731968940333057
13,AgglomerativeClustering,affinity = manhattan linkage = complete k = 2,2,134,11,20.830572958359053,0.2709160406254093
14,AgglomerativeClustering,affinity = manhattan linkage = average k = 2,2,133,12,18.902002085460513,0.24237976139462558
15,AgglomerativeClustering,affinity = manhattan linkage = single k = 2,2,143,2,5.762779408574375,0.2978459885195776
16,AgglomerativeClustering,affinity = cosine linkage = complete k = 2,2,96,49,21.32741497795359,0.13316169964463093
17,AgglomerativeClustering,affinity = cosine linkage = average k = 2,2,97,48,35.60042166188093,0.212393995125481
18,AgglomerativeClustering,affinity = cosine linkage = single k = 2,2,144,1,0.8843504247866184,-0.013747682092002552
