,algorithm,params,groups,memberG1,memberG2,calinski_harabaz_score,silhouette_score
1,K-Means,K = 2,2,113,65,69.48646422404195,0.26831340971052126
2,Birch,K = 2,2,122,56,65.36083820586113,0.2670131771272231
3,AgglomerativeClustering,affinity = euclidean linkage = ward k = 2,2,122,56,65.36083820586113,0.2670131771272231
4,AgglomerativeClustering,affinity = euclidean linkage = complete k = 2,2,109,69,36.31083356649204,0.16186821075824515
5,AgglomerativeClustering,affinity = euclidean linkage = average k = 2,2,177,1,2.664687244251712,0.25910607362654126
6,AgglomerativeClustering,affinity = euclidean linkage = single k = 2,2,175,3,5.74429160266628,0.22245060727650934
7,AgglomerativeClustering,affinity = l1 linkage = complete k = 2,2,81,97,40.004577001685874,0.1821326404365512
8,AgglomerativeClustering,affinity = l1 linkage = average k = 2,2,177,1,2.664687244251712,0.25910607362654126
9,AgglomerativeClustering,affinity = l1 linkage = single k = 2,2,177,1,2.9578711922574463,0.29886235668726696
10,AgglomerativeClustering,affinity = l2 linkage = complete k = 2,2,109,69,36.31083356649204,0.16186821075824515
11,AgglomerativeClustering,affinity = l2 linkage = average k = 2,2,177,1,2.664687244251712,0.25910607362654126
12,AgglomerativeClustering,affinity = l2 linkage = single k = 2,2,175,3,5.74429160266628,0.22245060727650934
13,AgglomerativeClustering,affinity = manhattan linkage = complete k = 2,2,81,97,40.004577001685874,0.1821326404365512
14,AgglomerativeClustering,affinity = manhattan linkage = average k = 2,2,177,1,2.664687244251712,0.25910607362654126
15,AgglomerativeClustering,affinity = manhattan linkage = single k = 2,2,177,1,2.9578711922574463,0.29886235668726696
16,AgglomerativeClustering,affinity = cosine linkage = complete k = 2,2,104,74,59.816702384136974,0.23722684126626922
17,AgglomerativeClustering,affinity = cosine linkage = average k = 2,2,110,68,55.71249455277063,0.2323121289412682
18,AgglomerativeClustering,affinity = cosine linkage = single k = 2,2,175,3,5.74429160266628,0.22245060727650934
