,Message Error
1,Error exec K-Means with K 2
2,Error exec Birch with K 2
3,Error exec AgglomerativeClustering with params 
4,Error exec AgglomerativeClustering with params 
5,Error exec AgglomerativeClustering with params 
6,Error exec AgglomerativeClustering with params 
7,Error exec AgglomerativeClustering with params 
8,Error exec AgglomerativeClustering with params 
9,Error exec AgglomerativeClustering with params 
10,Error exec AgglomerativeClustering with params 
11,Error exec AgglomerativeClustering with params 
12,Error exec AgglomerativeClustering with params 
13,Error exec AgglomerativeClustering with params 
14,Error exec AgglomerativeClustering with params 
15,Error exec AgglomerativeClustering with params 
16,Error exec AgglomerativeClustering with params 
17,Error exec AgglomerativeClustering with params 
18,Error exec AgglomerativeClustering with params 
19,Error exec AgglomerativeClustering with params 
20,Error exec AgglomerativeClustering with params 
21,Error exec AgglomerativeClustering with params 
22,Error exec AgglomerativeClustering with params 
23,Error exec AgglomerativeClustering with params 
24,Error exec AgglomerativeClustering with params 
25,Error exec AgglomerativeClustering with params 
26,Error exec AgglomerativeClustering with params 
