,algorithm,params,groups,memberG1,memberG2,calinski_harabaz_score,silhouette_score
1,K-Means,K = 2,2,103,25,21.285373907485475,0.2084685609086624
2,Birch,K = 2,2,107,21,19.62483851882542,0.2028775804541118
3,AgglomerativeClustering,affinity = euclidean linkage = ward k = 2,2,110,18,19.38111264875645,0.2222264922665051
4,AgglomerativeClustering,affinity = euclidean linkage = complete k = 2,2,127,1,5.507853401032346,0.45982773086085416
5,AgglomerativeClustering,affinity = euclidean linkage = average k = 2,2,127,1,5.507853401032346,0.45982773086085416
6,AgglomerativeClustering,affinity = euclidean linkage = single k = 2,2,127,1,5.507853401032346,0.45982773086085416
7,AgglomerativeClustering,affinity = l1 linkage = complete k = 2,2,38,90,17.509470796603473,0.13288782164065402
8,AgglomerativeClustering,affinity = l1 linkage = average k = 2,2,123,5,7.375942782675862,0.23659031102154313
9,AgglomerativeClustering,affinity = l1 linkage = single k = 2,2,127,1,5.507853401032346,0.45982773086085416
10,AgglomerativeClustering,affinity = l2 linkage = complete k = 2,2,127,1,5.507853401032346,0.45982773086085416
11,AgglomerativeClustering,affinity = l2 linkage = average k = 2,2,127,1,5.507853401032346,0.45982773086085416
12,AgglomerativeClustering,affinity = l2 linkage = single k = 2,2,127,1,5.507853401032346,0.45982773086085416
13,AgglomerativeClustering,affinity = manhattan linkage = complete k = 2,2,38,90,17.509470796603473,0.13288782164065402
14,AgglomerativeClustering,affinity = manhattan linkage = average k = 2,2,123,5,7.375942782675862,0.23659031102154313
15,AgglomerativeClustering,affinity = manhattan linkage = single k = 2,2,127,1,5.507853401032346,0.45982773086085416
16,AgglomerativeClustering,affinity = cosine linkage = complete k = 2,2,104,24,8.158281733584198,0.013813635062512668
17,AgglomerativeClustering,affinity = cosine linkage = average k = 2,2,89,39,18.612860612912712,0.1684786259798798
18,AgglomerativeClustering,affinity = cosine linkage = single k = 2,2,127,1,5.507853401032346,0.45982773086085416
