Algorithm,Params,Validation,Accuracy,Recall,Precision,F1
NuSVM,kernel:poly-nu:0.050000-degree:4,CV-5,0.773684210526,1.0,0.755441176471,0.860091495998
SVM,kernel:poly-c:0.050000-degree:3,CV-5,0.690526315789,1.0,0.690526315789,0.816911764706
SVM,kernel:rbf-c:0.100000-degree:13,CV-5,0.690526315789,1.0,0.690526315789,0.816911764706
SVM,kernel:rbf-c:0.100000-degree:14,CV-5,0.690526315789,1.0,0.690526315789,0.816911764706
SVM,kernel:poly-c:0.010000-degree:3,CV-5,0.690526315789,1.0,0.690526315789,0.816911764706
SVM,kernel:poly-c:0.010000-degree:4,CV-5,0.690526315789,1.0,0.690526315789,0.816911764706
SVM,kernel:poly-c:0.010000-degree:5,CV-5,0.690526315789,1.0,0.690526315789,0.816911764706
SVM,kernel:poly-c:0.010000-degree:6,CV-5,0.690526315789,1.0,0.690526315789,0.816911764706
SVM,kernel:poly-c:0.010000-degree:7,CV-5,0.690526315789,1.0,0.690526315789,0.816911764706
SVM,kernel:poly-c:0.010000-degree:8,CV-5,0.690526315789,1.0,0.690526315789,0.816911764706
SVM,kernel:poly-c:0.010000-degree:9,CV-5,0.690526315789,1.0,0.690526315789,0.816911764706
SVM,kernel:poly-c:0.010000-degree:10,CV-5,0.690526315789,1.0,0.690526315789,0.816911764706
SVM,kernel:poly-c:0.010000-degree:11,CV-5,0.690526315789,1.0,0.690526315789,0.816911764706
SVM,kernel:poly-c:0.010000-degree:12,CV-5,0.690526315789,1.0,0.690526315789,0.816911764706
SVM,kernel:poly-c:0.010000-degree:13,CV-5,0.690526315789,1.0,0.690526315789,0.816911764706
SVM,kernel:poly-c:0.010000-degree:14,CV-5,0.690526315789,1.0,0.690526315789,0.816911764706
SVM,kernel:poly-c:0.050000-degree:4,CV-5,0.690526315789,1.0,0.690526315789,0.816911764706
SVM,kernel:rbf-c:0.100000-degree:11,CV-5,0.690526315789,1.0,0.690526315789,0.816911764706
SVM,kernel:poly-c:0.050000-degree:5,CV-5,0.690526315789,1.0,0.690526315789,0.816911764706
SVM,kernel:poly-c:0.050000-degree:6,CV-5,0.690526315789,1.0,0.690526315789,0.816911764706
SVM,kernel:poly-c:0.050000-degree:7,CV-5,0.690526315789,1.0,0.690526315789,0.816911764706
SVM,kernel:poly-c:0.050000-degree:8,CV-5,0.690526315789,1.0,0.690526315789,0.816911764706
SVM,kernel:poly-c:0.050000-degree:9,CV-5,0.690526315789,1.0,0.690526315789,0.816911764706
SVM,kernel:poly-c:0.050000-degree:10,CV-5,0.690526315789,1.0,0.690526315789,0.816911764706
SVM,kernel:poly-c:0.050000-degree:11,CV-5,0.690526315789,1.0,0.690526315789,0.816911764706
SVM,kernel:poly-c:0.050000-degree:13,CV-5,0.690526315789,1.0,0.690526315789,0.816911764706
SVM,kernel:poly-c:0.050000-degree:14,CV-5,0.690526315789,1.0,0.690526315789,0.816911764706
SVM,kernel:poly-c:0.100000-degree:3,CV-5,0.690526315789,1.0,0.690526315789,0.816911764706
SVM,kernel:poly-c:0.100000-degree:4,CV-5,0.690526315789,1.0,0.690526315789,0.816911764706
SVM,kernel:poly-c:0.100000-degree:5,CV-5,0.690526315789,1.0,0.690526315789,0.816911764706
SVM,kernel:poly-c:0.100000-degree:6,CV-5,0.690526315789,1.0,0.690526315789,0.816911764706
SVM,kernel:poly-c:0.100000-degree:7,CV-5,0.690526315789,1.0,0.690526315789,0.816911764706
SVM,kernel:rbf-c:0.100000-degree:12,CV-5,0.690526315789,1.0,0.690526315789,0.816911764706
SVM,kernel:rbf-c:0.100000-degree:10,CV-5,0.690526315789,1.0,0.690526315789,0.816911764706
SVM,kernel:poly-c:0.100000-degree:9,CV-5,0.690526315789,1.0,0.690526315789,0.816911764706
SVM,kernel:rbf-c:0.050000-degree:5,CV-5,0.690526315789,1.0,0.690526315789,0.816911764706
SVM,kernel:rbf-c:0.010000-degree:11,CV-5,0.690526315789,1.0,0.690526315789,0.816911764706
SVM,kernel:rbf-c:0.010000-degree:12,CV-5,0.690526315789,1.0,0.690526315789,0.816911764706
SVM,kernel:rbf-c:0.010000-degree:10,CV-5,0.690526315789,1.0,0.690526315789,0.816911764706
SVM,kernel:rbf-c:0.010000-degree:9,CV-5,0.690526315789,1.0,0.690526315789,0.816911764706
SVM,kernel:rbf-c:0.010000-degree:8,CV-5,0.690526315789,1.0,0.690526315789,0.816911764706
SVM,kernel:rbf-c:0.010000-degree:7,CV-5,0.690526315789,1.0,0.690526315789,0.816911764706
SVM,kernel:rbf-c:0.010000-degree:6,CV-5,0.690526315789,1.0,0.690526315789,0.816911764706
SVM,kernel:rbf-c:0.010000-degree:5,CV-5,0.690526315789,1.0,0.690526315789,0.816911764706
SVM,kernel:rbf-c:0.010000-degree:4,CV-5,0.690526315789,1.0,0.690526315789,0.816911764706
SVM,kernel:rbf-c:0.010000-degree:3,CV-5,0.690526315789,1.0,0.690526315789,0.816911764706
SVM,kernel:rbf-c:0.010000-degree:13,CV-5,0.690526315789,1.0,0.690526315789,0.816911764706
SVM,kernel:rbf-c:0.010000-degree:14,CV-5,0.690526315789,1.0,0.690526315789,0.816911764706
SVM,kernel:rbf-c:0.050000-degree:3,CV-5,0.690526315789,1.0,0.690526315789,0.816911764706
SVM,kernel:rbf-c:0.050000-degree:4,CV-5,0.690526315789,1.0,0.690526315789,0.816911764706
SVM,kernel:rbf-c:0.050000-degree:6,CV-5,0.690526315789,1.0,0.690526315789,0.816911764706
SVM,kernel:rbf-c:0.100000-degree:9,CV-5,0.690526315789,1.0,0.690526315789,0.816911764706
SVM,kernel:rbf-c:0.050000-degree:7,CV-5,0.690526315789,1.0,0.690526315789,0.816911764706
