Algorithm,Params,Validation,Accuracy,Recall,Precision,F1
AdaBoostClassifier,Algorithm:SAMME-n_estimators:10,CV-3,0.865384615385,0.888888888889,0.939393939394,0.9
AdaBoostClassifier,Algorithm:SAMME-n_estimators:50,CV-3,0.768315018315,0.888888888889,0.839743589744,0.842236024845
AdaBoostClassifier,Algorithm:SAMME-n_estimators:100,CV-3,0.768315018315,0.888888888889,0.839743589744,0.842236024845
AdaBoostClassifier,Algorithm:SAMME-n_estimators:200,CV-3,0.768315018315,0.888888888889,0.839743589744,0.842236024845
AdaBoostClassifier,Algorithm:SAMME-n_estimators:500,CV-3,0.768315018315,0.888888888889,0.839743589744,0.842236024845
AdaBoostClassifier,Algorithm:SAMME-n_estimators:1000,CV-3,0.793956043956,0.888888888889,0.862470862471,0.85652173913
AdaBoostClassifier,Algorithm:SAMME-n_estimators:1500,CV-3,0.793956043956,0.888888888889,0.862470862471,0.85652173913
AdaBoostClassifier,Algorithm:SAMME-n_estimators:2000,CV-3,0.793956043956,0.888888888889,0.862470862471,0.85652173913
AdaBoostClassifier,Algorithm:SAMME.R-n_estimators:10,CV-3,0.768315018315,0.888888888889,0.839743589744,0.842236024845
AdaBoostClassifier,Algorithm:SAMME.R-n_estimators:50,CV-3,0.768315018315,0.888888888889,0.839743589744,0.813664596273
AdaBoostClassifier,Algorithm:SAMME.R-n_estimators:100,CV-3,0.768315018315,0.888888888889,0.839743589744,0.842236024845
AdaBoostClassifier,Algorithm:SAMME.R-n_estimators:200,CV-3,0.821733821734,0.888888888889,0.862470862471,0.85652173913
AdaBoostClassifier,Algorithm:SAMME.R-n_estimators:500,CV-3,0.766178266178,0.925925925926,0.788396788397,0.849114331723
AdaBoostClassifier,Algorithm:SAMME.R-n_estimators:1000,CV-3,0.766178266178,0.925925925926,0.862470862471,0.88152173913
AdaBoostClassifier,Algorithm:SAMME.R-n_estimators:1500,CV-3,0.821733821734,0.925925925926,0.788396788397,0.849114331723
AdaBoostClassifier,Algorithm:SAMME.R-n_estimators:2000,CV-3,0.766178266178,0.925925925926,0.862470862471,0.849114331723
Bagging,bootstrap:True-n_estimators:10,CV-3,0.764346764347,0.855555555556,0.833333333333,0.866666666667
Bagging,bootstrap:True-n_estimators:50,CV-3,0.768315018315,0.888888888889,0.856060606061,0.825108225108
Bagging,bootstrap:True-n_estimators:100,CV-3,0.768315018315,0.888888888889,0.833333333333,0.842236024845
Bagging,bootstrap:True-n_estimators:200,CV-3,0.768315018315,0.888888888889,0.839743589744,0.842236024845
Bagging,bootstrap:True-n_estimators:500,CV-3,0.768315018315,0.888888888889,0.839743589744,0.842236024845
Bagging,bootstrap:True-n_estimators:1000,CV-3,0.744505494505,0.888888888889,0.839743589744,0.842236024845
Bagging,bootstrap:True-n_estimators:1500,CV-3,0.768315018315,0.888888888889,0.833333333333,0.842236024845
Bagging,bootstrap:True-n_estimators:2000,CV-3,0.768315018315,0.888888888889,0.839743589744,0.842236024845
Bagging,bootstrap:False-n_estimators:10,CV-3,0.740537240537,0.818518518519,0.856060606061,0.809523809524
Bagging,bootstrap:False-n_estimators:50,CV-3,0.740537240537,0.818518518519,0.856060606061,0.809523809524
Bagging,bootstrap:False-n_estimators:100,CV-3,0.740537240537,0.818518518519,0.856060606061,0.809523809524
Bagging,bootstrap:False-n_estimators:200,CV-3,0.740537240537,0.818518518519,0.856060606061,0.809523809524
Bagging,bootstrap:False-n_estimators:500,CV-3,0.740537240537,0.818518518519,0.856060606061,0.809523809524
Bagging,bootstrap:False-n_estimators:1000,CV-3,0.740537240537,0.818518518519,0.856060606061,0.809523809524
Bagging,bootstrap:False-n_estimators:1500,CV-3,0.740537240537,0.818518518519,0.856060606061,0.809523809524
Bagging,bootstrap:False-n_estimators:2000,CV-3,0.740537240537,0.818518518519,0.856060606061,0.809523809524
BernoulliNB,Default,CV-3,0.891025641026,0.888888888889,0.966666666667,0.915789473684
DecisionTree,criterion:gini-splitter:best,CV-3,0.740537240537,0.818518518519,0.856060606061,0.809523809524
DecisionTree,criterion:gini-splitter:random,CV-3,0.768315018315,0.785185185185,0.809090909091,0.797994987469
DecisionTree,criterion:entropy-splitter:best,CV-3,0.740537240537,0.818518518519,0.856060606061,0.809523809524
DecisionTree,criterion:entropy-splitter:random,CV-3,0.746336996337,0.751851851852,0.839393939394,0.812280701754
GaussianNB,Default,CV-3,0.635531135531,0.496296296296,1.0,0.654761904762
KNeighborsClassifier,n_neighbors:1-algorithm:auto-metric:minkowski-weights:uniform,CV-3,0.770146520147,0.822222222222,0.872727272727,0.833333333333
KNeighborsClassifier,n_neighbors:1-algorithm:auto-metric:minkowski-weights:distance,CV-3,0.770146520147,0.822222222222,0.872727272727,0.833333333333
KNeighborsClassifier,n_neighbors:1-algorithm:auto-metric:euclidean-weights:uniform,CV-3,0.770146520147,0.822222222222,0.872727272727,0.833333333333
KNeighborsClassifier,n_neighbors:1-algorithm:auto-metric:euclidean-weights:distance,CV-3,0.770146520147,0.822222222222,0.872727272727,0.833333333333
KNeighborsClassifier,n_neighbors:1-algorithm:ball_tree-metric:minkowski-weights:uniform,CV-3,0.770146520147,0.822222222222,0.872727272727,0.833333333333
KNeighborsClassifier,n_neighbors:1-algorithm:ball_tree-metric:minkowski-weights:distance,CV-3,0.770146520147,0.822222222222,0.872727272727,0.833333333333
KNeighborsClassifier,n_neighbors:1-algorithm:ball_tree-metric:euclidean-weights:uniform,CV-3,0.770146520147,0.822222222222,0.872727272727,0.833333333333
KNeighborsClassifier,n_neighbors:1-algorithm:ball_tree-metric:euclidean-weights:distance,CV-3,0.770146520147,0.822222222222,0.872727272727,0.833333333333
KNeighborsClassifier,n_neighbors:1-algorithm:kd_tree-metric:minkowski-weights:uniform,CV-3,0.770146520147,0.822222222222,0.872727272727,0.833333333333
KNeighborsClassifier,n_neighbors:1-algorithm:kd_tree-metric:minkowski-weights:distance,CV-3,0.770146520147,0.822222222222,0.872727272727,0.833333333333
KNeighborsClassifier,n_neighbors:1-algorithm:kd_tree-metric:euclidean-weights:uniform,CV-3,0.770146520147,0.822222222222,0.872727272727,0.833333333333
KNeighborsClassifier,n_neighbors:1-algorithm:kd_tree-metric:euclidean-weights:distance,CV-3,0.770146520147,0.822222222222,0.872727272727,0.833333333333
KNeighborsClassifier,n_neighbors:1-algorithm:brute-metric:minkowski-weights:uniform,CV-3,0.770146520147,0.822222222222,0.872727272727,0.833333333333
KNeighborsClassifier,n_neighbors:1-algorithm:brute-metric:minkowski-weights:distance,CV-3,0.770146520147,0.822222222222,0.872727272727,0.833333333333
KNeighborsClassifier,n_neighbors:1-algorithm:brute-metric:euclidean-weights:uniform,CV-3,0.770146520147,0.822222222222,0.872727272727,0.833333333333
KNeighborsClassifier,n_neighbors:1-algorithm:brute-metric:euclidean-weights:distance,CV-3,0.770146520147,0.822222222222,0.872727272727,0.833333333333
KNeighborsClassifier,n_neighbors:2-algorithm:auto-metric:minkowski-weights:uniform,CV-3,0.815628815629,0.785185185185,0.966666666667,0.850181008076
KNeighborsClassifier,n_neighbors:2-algorithm:auto-metric:minkowski-weights:distance,CV-3,0.770146520147,0.822222222222,0.872727272727,0.833333333333
KNeighborsClassifier,n_neighbors:2-algorithm:auto-metric:euclidean-weights:uniform,CV-3,0.815628815629,0.785185185185,0.966666666667,0.850181008076
