Algorithm,Params,Validation,Accuracy,Recall,Precision,F1
RandomForestClassifier,n_estimators:10-criterion:entropy-min_samples_split:2-min_samples_leaf:1-bootstrap:True,CV-3,0.781862745098,0.642857142857,0.916666666667,0.626262626263
KNeighborsClassifier,n_neighbors:2-algorithm:kd_tree-metric:euclidean-weights:uniform,CV-3,0.762254901961,0.555555555556,0.875,0.637037037037
KNeighborsClassifier,n_neighbors:2-algorithm:auto-metric:euclidean-weights:uniform,CV-3,0.762254901961,0.555555555556,0.875,0.637037037037
KNeighborsClassifier,n_neighbors:2-algorithm:ball_tree-metric:euclidean-weights:uniform,CV-3,0.762254901961,0.555555555556,0.875,0.637037037037
KNeighborsClassifier,n_neighbors:2-algorithm:kd_tree-metric:minkowski-weights:uniform,CV-3,0.762254901961,0.555555555556,0.875,0.637037037037
KNeighborsClassifier,n_neighbors:2-algorithm:auto-metric:minkowski-weights:uniform,CV-3,0.762254901961,0.555555555556,0.875,0.637037037037
KNeighborsClassifier,n_neighbors:2-algorithm:brute-metric:minkowski-weights:uniform,CV-3,0.762254901961,0.555555555556,0.875,0.637037037037
KNeighborsClassifier,n_neighbors:2-algorithm:brute-metric:euclidean-weights:uniform,CV-3,0.762254901961,0.555555555556,0.875,0.637037037037
KNeighborsClassifier,n_neighbors:2-algorithm:ball_tree-metric:minkowski-weights:uniform,CV-3,0.762254901961,0.555555555556,0.875,0.637037037037
GaussianNB,Default,CV-3,0.761029411765,0.603174603175,0.822222222222,0.640572390572
RandomForestClassifier,n_estimators:100-criterion:entropy-min_samples_split:2-min_samples_leaf:1-bootstrap:True,CV-3,0.781862745098,0.650793650794,0.812121212121,0.692592592593
RandomForestClassifier,n_estimators:200-criterion:gini-min_samples_split:2-min_samples_leaf:1-bootstrap:True,CV-3,0.762254901961,0.746031746032,0.811111111111,0.731054131054
RandomForestClassifier,n_estimators:10-criterion:entropy-min_samples_split:2-min_samples_leaf:1-bootstrap:False,CV-3,0.762254901961,0.746031746032,0.8,0.731054131054
AdaBoostClassifier,Algorithm:SAMME-n_estimators:100,CV-3,0.720588235294,0.547619047619,0.783333333333,0.583442265795
RandomForestClassifier,n_estimators:2000-criterion:entropy-min_samples_split:2-min_samples_leaf:1-bootstrap:True,CV-3,0.762254901961,0.650793650794,0.783333333333,0.683778966132
AdaBoostClassifier,Algorithm:SAMME-n_estimators:50,CV-3,0.741421568627,0.595238095238,0.783333333333,0.639334521687
AdaBoostClassifier,Algorithm:SAMME-n_estimators:1500,CV-3,0.741421568627,0.650793650794,0.781818181818,0.664646464646
KNeighborsClassifier,n_neighbors:1-algorithm:kd_tree-metric:minkowski-weights:distance,CV-3,0.821078431373,0.801587301587,0.777777777778,0.774509803922
KNeighborsClassifier,n_neighbors:1-algorithm:auto-metric:minkowski-weights:distance,CV-3,0.821078431373,0.801587301587,0.777777777778,0.774509803922
KNeighborsClassifier,n_neighbors:2-algorithm:auto-metric:minkowski-weights:distance,CV-3,0.821078431373,0.801587301587,0.777777777778,0.774509803922
KNeighborsClassifier,n_neighbors:1-algorithm:brute-metric:minkowski-weights:distance,CV-3,0.821078431373,0.801587301587,0.777777777778,0.774509803922
KNeighborsClassifier,n_neighbors:1-algorithm:brute-metric:minkowski-weights:uniform,CV-3,0.821078431373,0.801587301587,0.777777777778,0.774509803922
